StarID,ProperName,RA,Dec,Mag,ColorIndex
447.0,,0.1256492,-23.8189432,8.7,0.798
448.0,,0.12577636,32.0087787,8.5,0.451
449.0,,0.12630588,-60.64172798,8.37,0.595
450.0,,0.12643796,31.66904954,6.87,1.124
451.0,,0.12682801,-62.31507712,7.5,1.703
452.0,,0.12688198,-86.03877612,7.39,-0.018
453.0,,0.12705754,-45.11929768,8.19,0.584
454.0,,0.12706013,52.7729898,7.56,0.9
455.0,,0.12706217,53.52653764,8.37,0.379
456.0,,0.12713266,40.07851976,7.39,1.008
457.0,,0.12720594,40.14799609,6.73,0.951
458.0,,0.12752971,-66.89539355,8.66,0.79
459.0,,0.12777993,1.09425779,8.25,0.17
460.0,,0.12782948,-7.92129475,8.47,0.953
461.0,,0.1279186,39.03491283,8.01,0.456
462.0,,0.12803261,-65.93227482,6.83,1.158
463.0,,0.12850273,-46.54467295,8.79,1.127
464.0,,0.12863906,37.18548226,7.44,0.478
465.0,,0.12891543,-2.54868621,6.43,-0.146
466.0,,0.12968212,-22.50847542,5.93,0.141
467.0,,0.12994545,-5.48598739,8.85,1.196
468.0,,0.13010957,-11.12904586,8.55,0.964
469.0,,0.13083039,38.72179052,7.66,0.181
470.0,,0.13107664,55.57701937,7.82,0.61
471.0,,0.13191816,-51.25786512,8.21,1.087
472.0,,0.13310668,-14.22671354,8.85,0.631
473.0,,0.13314352,-78.21097486,7.79,1.45
474.0,,0.13315104,-18.68470818,7.58,1.271
475.0,,0.13340341,-7.5447734,7.85,0.505
476.0,,0.1334316,-78.59876143,7.18,0.156
477.0,,0.13354435,29.83750636,7.54,0.408
478.0,,0.13381462,31.39121911,7.12,0.184
479.0,,0.13390149,-45.38213796,8.84,1.042
480.0,,0.13431035,-33.52933371,5.67,1.119
481.0,,0.13461645,53.79639636,8.15,0.617
482.0,,0.13494725,4.9273342,8.19,1.079
483.0,,0.13599106,31.37900363,7.27,0.207
484.0,,0.13611203,71.1594885,8.51,0.215
485.0,,0.13658947,-59.06308248,8.36,1.113
486.0,,0.13665791,-70.05583226,8.74,1.227
487.0,,0.13669219,-2.44769895,6.18,1.366
488.0,,0.13713003,29.73233165,8.31,1.053
489.0,,0.13740614,42.22343513,8.58,0.915
490.0,,0.1378806,-14.82446576,7.04,0.624
491.0,,0.13804068,34.49526635,8.81,0.31
492.0,,0.13820907,-8.82402541,5.99,1.034
493.0,,0.13850386,-32.70083924,8.22,1.064
494.0,,0.13948053,3.44072762,8.0,1.193
495.0,Alpheratz,0.13976888,29.09082805,2.07,-0.038
496.0,,0.14007449,50.24535175,8.11,0.098
497.0,,0.14022872,-57.19508646,8.89,1.179
498.0,,0.1404706,6.6168073,7.59,0.626
499.0,,0.14056714,41.95798984,8.72,0.071
500.0,,0.14092673,17.42445447,10.73,1.46
501.0,,0.14100892,-24.09375148,7.59,0.508
502.0,,0.14121806,34.93452295,7.41,0.606
503.0,,0.14170073,52.33640337,7.78,0.358
504.0,,0.14190684,-6.7921591,7.76,1.618
505.0,,0.14201723,20.26736526,8.94,0.419
506.0,,0.14208729,11.17153688,8.95,0.435
507.0,,0.14246332,63.20404897,6.41,0.998
508.0,,0.14263548,-17.57804019,6.11,1.664
509.0,,0.14314078,53.25410868,7.76,0.415
510.0,,0.14410568,-74.23842588,7.38,1.326
511.0,,0.1447282,36.62742794,6.21,0.504
512.0,,0.14530229,-2.22257211,7.05,0.963
